scenario,run,window,n_gaps,median_gap_us,p99_gap_us,max_gap_us
S24_3g_2sat,3,2,471,1.088,817.176,76218.279
S24_3g_2sat,3,3,2358,1.088,811.64,885.271
S24_3g_2sat,3,4,2321,1.088,814.808,1273.524
S24_3g_2sat,3,5,2362,1.088,814.712,880.183
S24_3g_2sat,3,6,2371,1.088,812.569,827.864
S24_3g_2sat,3,7,1579,1.088,1204.021,20322.686
S24_3g_2sat,3,8,1512,1.088,811.064,74171.325
S24_3g_2sat,3,9,2374,1.088,809.848,985.847
S26_4g_3sat,1,0,16,23.168,117920.541,117920.541
S26_4g_3sat,1,1,19,39.231,74893.838,74893.838
S26_4g_3sat,1,2,485,1.28,824.471,95752.38
S26_4g_3sat,1,3,2433,1.248,822.36,849.527
S26_4g_3sat,1,4,1168,1.248,1897.933,39122.68
S26_4g_3sat,1,5,1487,1.28,1855.95,8821.0
S26_4g_3sat,1,6,2425,1.28,814.072,1851.822
S26_4g_3sat,1,7,2448,1.248,817.719,849.656
S26_4g_3sat,1,8,2449,1.248,816.984,877.079
S26_4g_3sat,1,9,2445,1.248,814.584,884.535
S26_4g_3sat,2,0,16,23.392,116681.814,116681.814
S26_4g_3sat,2,1,20,89.215,74375.163,74375.163
S26_4g_3sat,2,2,1350,1.248,819.544,72126.545
S26_4g_3sat,2,3,679,1.248,4999.918,90414.526
S26_4g_3sat,2,4,2451,1.248,810.935,1003.83
S26_4g_3sat,2,5,2653,1.248,812.024,829.303
S26_4g_3sat,2,6,759,1.248,4862.096,39862.26
S26_4g_3sat,2,7,2208,1.248,826.264,4667.473
S26_4g_3sat,2,8,2600,1.248,822.103,1768.046
S26_4g_3sat,2,9,2639,1.248,819.576,880.887
S26_4g_3sat,3,0,16,24.863,110453.885,110453.885
S26_4g_3sat,3,1,20,110.559,73612.233,73612.233
S26_4g_3sat,3,2,1469,1.28,941.399,71164.353
S26_4g_3sat,3,3,2472,1.248,941.111,1227.348
S26_4g_3sat,3,4,2471,1.248,941.367,1430.034
S26_4g_3sat,3,5,1073,1.28,1819.086,75086.398
S26_4g_3sat,3,6,2385,1.248,936.983,1278.708
S26_4g_3sat,3,7,2457,1.248,939.767,1314.227
S26_4g_3sat,3,8,950,1.248,3235.424,40682.384
S26_4g_3sat,3,9,2062,1.248,945.271,9540.771
S2_7g_mig,1,0,16,24.576,117175.21,117175.21
S2_7g_mig,1,1,19,36.511,74690.222,74690.222
S2_7g_mig,1,2,692,1.248,524.409,75546.434
S2_7g_mig,1,3,1475,1.248,1828.837,38778.578
S2_7g_mig,1,4,1982,1.216,1347.053,3809.258
S2_7g_mig,1,5,2617,1.216,521.432,597.335
S2_7g_mig,1,6,2624,1.216,514.456,603.191
S2_7g_mig,1,7,2047,1.216,528.889,10426.602
S2_7g_mig,1,8,1320,1.248,533.273,75678.976
S2_7g_mig,1,9,2583,1.216,516.537,1388.268
S2_7g_mig,2,0,15,24.448,70928.945,70928.945
S2_7g_mig,2,1,11,338.779,114867.681,114867.681
S2_7g_mig,2,2,12,113.439,76986.459,76986.459
S2_7g_mig,2,3,1851,1.216,519.737,615.736
S2_7g_mig,2,4,2232,1.216,521.977,996.913
S2_7g_mig,2,5,2255,1.216,523.896,593.303
S2_7g_mig,2,6,2251,1.184,524.632,586.551
S2_7g_mig,2,7,2254,1.184,524.728,622.775
S2_7g_mig,2,8,2241,1.216,520.248,631.991
S2_7g_mig,2,9,2253,1.216,520.633,614.711
S2_7g_mig,3,0,16,25.503,109813.854,109813.854
S2_7g_mig,3,1,19,68.191,71481.314,71481.314
S2_7g_mig,3,2,264,1.248,56155.197,74532.374
S2_7g_mig,3,3,2341,1.216,644.503,1306.445
S2_7g_mig,3,4,2476,1.216,643.415,659.894
S2_7g_mig,3,5,805,1.216,3359.952,38665.015
S2_7g_mig,3,6,2058,1.216,730.614,4176.229
S2_7g_mig,3,7,2465,1.184,646.071,837.46
S2_7g_mig,3,8,2453,1.216,647.319,2713.369
S2_7g_mig,3,9,2478,1.184,641.687,687.03
S5_3g_alone,1,0,15,22.272,71182.124,71182.124
S5_3g_alone,1,1,11,309.595,116059.181,116059.181
S5_3g_alone,1,2,12,97.567,74402.558,74402.558
S5_3g_alone,1,3,2154,1.216,804.405,869.204
S5_3g_alone,1,4,2183,1.184,804.693,1693.064
S5_3g_alone,1,5,2194,1.184,809.557,875.987
S5_3g_alone,1,6,2202,1.184,693.398,866.868
S5_3g_alone,1,7,2202,1.184,806.357,855.028
S5_3g_alone,1,8,2196,1.216,809.748,844.084
S5_3g_alone,1,9,2206,1.184,804.661,865.172
S5_3g_alone,2,0,15,21.824,72781.143,72781.143
S5_3g_alone,2,1,12,399.675,115627.031,115627.031
S5_3g_alone,2,2,73,4.576,74686.332,74686.332
S5_3g_alone,2,3,1580,1.184,1815.942,4365.826
S5_3g_alone,2,4,2250,1.184,805.845,1592.554
S5_3g_alone,2,5,2303,1.184,803.508,823.732
S5_3g_alone,2,6,2281,1.184,810.805,885.299
S5_3g_alone,2,7,2297,1.184,809.941,886.227
S5_3g_alone,2,8,2286,1.184,802.773,1246.35
S5_3g_alone,2,9,2278,1.184,806.58,1267.886
S5_3g_alone,3,0,12,22.751,120616.532,120616.532
S5_3g_alone,3,1,9,21.696,116854.634,116854.634
S5_3g_alone,3,2,16,79.583,80284.464,80284.464
S5_3g_alone,3,3,1553,1.184,804.437,73966.153
S5_3g_alone,3,4,2292,1.184,802.645,835.253
S5_3g_alone,3,5,2293,1.184,805.46,1238.415
S5_3g_alone,3,6,2301,1.184,805.365,819.7
S5_3g_alone,3,7,2300,1.184,807.508,823.092
S5_3g_alone,3,8,2298,1.184,808.853,820.692
S5_3g_alone,3,9,2301,1.184,690.358,822.164
S6_3g_qwen,1,0,16,23.487,108143.372,108143.372
S6_3g_qwen,1,1,20,121.599,73876.111,73876.111
S6_3g_qwen,1,2,1517,1.184,988.178,71394.482
S6_3g_qwen,1,3,2431,1.216,975.666,1081.424
S6_3g_qwen,1,4,2370,1.216,983.698,3724.267
S6_3g_qwen,1,5,1104,1.216,1306.51,75058.43
S6_3g_qwen,1,6,2431,1.215,976.787,1001.298
S6_3g_qwen,1,7,1559,1.184,986.994,38416.003
S6_3g_qwen,1,8,1434,1.216,2938.614,11454.239
S6_3g_qwen,1,9,2493,1.216,860.596,1208.847
S6_3g_qwen,2,0,16,23.871,106305.563,106305.563
S6_3g_qwen,2,1,19,66.495,71263.778,71263.778
S6_3g_qwen,2,2,1000,1.216,957.299,73434.116
S6_3g_qwen,2,3,2295,1.216,943.122,1013.874
S6_3g_qwen,2,4,2280,1.215,947.859,1057.393
S6_3g_qwen,2,5,2303,1.184,947.763,1036.786
S6_3g_qwen,2,6,2359,1.216,821.685,1043.122
S6_3g_qwen,2,7,1536,1.216,1054.61,24134.255
S6_3g_qwen,2,8,1256,1.216,944.979,92579.447
S6_3g_qwen,2,9,2311,1.216,934.291,966.291
S6_3g_qwen,3,0,15,22.399,70848.877,70848.877
S6_3g_qwen,3,1,12,386.17,113111.173,113111.173
S6_3g_qwen,3,2,11,37.087,75706.922,75706.922
S6_3g_qwen,3,3,2154,1.216,811.125,913.267
S6_3g_qwen,3,4,2183,1.216,811.701,1044.85
S6_3g_qwen,3,5,2195,1.216,810.741,891.508
S6_3g_qwen,3,6,2207,1.216,691.126,834.836
S6_3g_qwen,3,7,2199,1.216,810.613,852.788
S6_3g_qwen,3,8,2194,1.216,810.133,927.123
S6_3g_qwen,3,9,2205,1.216,808.725,886.932
S7_3g_neuralrx,1,0,16,23.104,109969.559,109969.559
S7_3g_neuralrx,1,1,19,88.447,73877.832,73877.832
S7_3g_neuralrx,1,2,547,1.216,986.194,72311.069
S7_3g_neuralrx,1,3,2123,1.216,974.739,989.17
