workload,partition,mode,mean_ms,p99_ms,n_calls
xapp,1g,with_l1,0.12753536988024275,0.15052799880504608,203882
xapp,1g,with_l1,0.1278961506570359,0.15052799880504608,203695
xapp,1g,alone,0.12456278700377112,0.1372160017490387,207982
xapp,1g,alone,0.13150097028357907,0.1443839967250824,198219
xapp,1g,alone,0.12351729600355722,0.13414399325847626,211504
xapp,1g,alone,0.12546285347248903,0.1382399946451187,206730
xapp,1g,alone,0.1268112948113043,0.1443839967250824,205142
xapp,2g,with_l1,0.12672318319402295,0.158720001578331,204258
xapp,2g,with_l1,0.12604622252779626,0.15667200088500977,205660
xapp,2g,with_l1,0.12718192897499703,0.1454080045223236,204533
xapp,2g,with_l1,0.12512858166215007,0.15564799308776855,207279
xapp,2g,with_l1,0.12467498136340187,0.15564799308776855,208072
xapp,2g,alone,0.12669515653449326,0.13926400244235992,203958
xapp,2g,alone,0.12292374491787413,0.13619199395179749,210246
xapp,2g,alone,0.12851361309339476,0.14131200313568115,201494
xapp,2g,alone,0.12902708180928568,0.14131200313568115,201172
xapp,2g,alone,0.12605006707897673,0.13926400244235992,206165
forecaster,4g,with_l1,32.569202787583606,32.735233306884766,921
forecaster,4g,with_l1,32.555799668567836,32.73215866088867,921
forecaster,4g,with_l1,32.55509694003127,32.7086067199707,921
forecaster,4g,with_l1,32.564166186039664,32.738304138183594,921
forecaster,4g,with_l1,32.55109101915722,32.70655822753906,921
forecaster,4g,alone,32.597325951120126,33.01887893676758,920
forecaster,4g,alone,32.59698086199553,33.03833770751953,920
forecaster,4g,alone,32.57998134364252,33.0250244140625,920
forecaster,4g,alone,32.59135332936826,32.949249267578125,920
forecaster,4g,alone,32.60210322089817,33.08134460449219,920
