[bursty] e4_steady_N4_t1_c4 duration=90s kernels/burst=100 burst_int=100ms idle=0ms
[bursty] burst 4260: 3.37ms, total_kernels=852000
[bursty] burst 4270: 3.74ms, total_kernels=854000
[bursty] burst 4280: 3.36ms, total_kernels=856000
[bursty] burst 4290: 3.35ms, total_kernels=858000
[bursty] burst 4300: 3.55ms, total_kernels=860000
[bursty] burst 4310: 3.34ms, total_kernels=862000
[bursty] burst 4320: 3.36ms, total_kernels=864000
[bursty] burst 4330: 3.36ms, total_kernels=866000
[bursty] burst 4340: 3.37ms, total_kernels=868000
[bursty] burst 4350: 3.37ms, total_kernels=870000
[bursty] burst 4360: 3.34ms, total_kernels=872000
[bursty] burst 4370: 3.35ms, total_kernels=874000
[bursty] burst 4380: 3.37ms, total_kernels=876000
[bursty] burst 4390: 3.35ms, total_kernels=878000
[bursty] burst 4400: 3.36ms, total_kernels=880000
[bursty] burst 4410: 3.38ms, total_kernels=882000
[bursty] burst 4420: 3.36ms, total_kernels=884000
[bursty] burst 4430: 3.77ms, total_kernels=886000
[bursty] burst 4440: 3.59ms, total_kernels=888000
[bursty] burst 4450: 3.34ms, total_kernels=890000
[bursty] burst 4460: 3.36ms, total_kernels=892000
[bursty] burst 4470: 3.37ms, total_kernels=894000
[bursty] burst 4480: 3.38ms, total_kernels=896000
[bursty] burst 4490: 3.38ms, total_kernels=898000
[bursty] burst 4500: 3.38ms, total_kernels=900000
[bursty] burst 4510: 3.31ms, total_kernels=902000
[bursty] burst 4520: 3.30ms, total_kernels=904000
[bursty] burst 4530: 3.41ms, total_kernels=906000
[bursty] burst 4540: 3.42ms, total_kernels=908000
[bursty] burst 4550: 3.79ms, total_kernels=910000
[bursty] burst 4560: 3.36ms, total_kernels=912000
[bursty] burst 4570: 3.39ms, total_kernels=914000
[bursty] burst 4580: 3.55ms, total_kernels=916000
[bursty] burst 4590: 3.38ms, total_kernels=918000
[bursty] burst 4600: 3.37ms, total_kernels=920000
[bursty] burst 4610: 3.38ms, total_kernels=922000
[bursty] burst 4620: 3.41ms, total_kernels=924000
[bursty] burst 4630: 3.38ms, total_kernels=926000
[bursty] burst 4640: 4.92ms, total_kernels=928000
[bursty] burst 4650: 4.88ms, total_kernels=930000
[bursty] burst 4660: 5.13ms, total_kernels=932000
[bursty] burst 4670: 4.24ms, total_kernels=934000
[bursty] burst 4680: 4.02ms, total_kernels=936000
[bursty] burst 4690: 4.08ms, total_kernels=938000
[bursty] burst 4700: 4.04ms, total_kernels=940000
[bursty] burst 4710: 4.07ms, total_kernels=942000
[bursty] burst 4720: 4.03ms, total_kernels=944000
[bursty] burst 4730: 4.05ms, total_kernels=946000
[bursty] burst 4740: 4.02ms, total_kernels=948000
[bursty] burst 4750: 4.05ms, total_kernels=950000
[bursty] burst 4760: 4.05ms, total_kernels=952000
[bursty] burst 4770: 4.13ms, total_kernels=954000
[bursty] burst 4780: 4.12ms, total_kernels=956000
[bursty] burst 4790: 4.13ms, total_kernels=958000
[bursty] burst 4800: 4.07ms, total_kernels=960000
[bursty] burst 4810: 4.07ms, total_kernels=962000
[bursty] burst 4820: 4.10ms, total_kernels=964000
[bursty] burst 4830: 4.06ms, total_kernels=966000
[bursty] burst 4840: 4.02ms, total_kernels=968000
[bursty] burst 4850: 4.09ms, total_kernels=970000
[bursty] burst 4860: 4.09ms, total_kernels=972000
[bursty] burst 4870: 4.06ms, total_kernels=974000
[bursty] burst 4880: 4.03ms, total_kernels=976000
[bursty] burst 4890: 4.07ms, total_kernels=978000
[bursty] burst 4900: 3.98ms, total_kernels=980000
[bursty] burst 4910: 4.02ms, total_kernels=982000
[bursty] burst 4920: 4.02ms, total_kernels=984000
[bursty] burst 4930: 4.10ms, total_kernels=986000
[bursty] burst 4940: 4.10ms, total_kernels=988000
[bursty] burst 4950: 4.09ms, total_kernels=990000
[bursty] burst 4960: 4.09ms, total_kernels=992000
[bursty] burst 4970: 4.08ms, total_kernels=994000
[bursty] burst 4980: 4.11ms, total_kernels=996000
[bursty] burst 4990: 4.07ms, total_kernels=998000
[bursty] burst 5000: 4.09ms, total_kernels=1000000
[bursty] burst 5010: 4.12ms, total_kernels=1002000
[bursty] burst 5020: 4.07ms, total_kernels=1004000
[bursty] burst 5030: 4.10ms, total_kernels=1006000
[bursty] burst 5040: 4.10ms, total_kernels=1008000
[bursty] burst 5050: 4.09ms, total_kernels=1010000
[bursty] burst 5060: 4.02ms, total_kernels=1012000
[bursty] burst 5070: 4.11ms, total_kernels=1014000
[bursty] burst 5080: 4.12ms, total_kernels=1016000
[bursty] burst 5090: 4.08ms, total_kernels=1018000
[bursty] burst 5100: 4.08ms, total_kernels=1020000
[bursty] burst 5110: 4.09ms, total_kernels=1022000
[bursty] burst 5120: 4.08ms, total_kernels=1024000
