condition,transition,count,p50_gap_us,p99_gap_us,max_gap_ms,mean_mem_us_inside,mean_mem_fraction
L1 4g + Forecaster,convert_kernel -> copy_complex64,3,115070.4,115780.5,115.8,9.3,0.0%
L1 4g + Forecaster,copy_float32 -> convert_kernel,12,1046.5,104889.4,104.9,0.0,0.0%
L1 4g + Forecaster,ch_est_filter -> copy_complex64,3,77670.5,77767.4,77.8,0.0,0.0%
L1 4g + Forecaster,convert_kernel -> copy_float16,3,75497.2,76200.9,76.2,0.0,0.0%
L1 4g + Forecaster,copy_complex64 -> copy_float32,6,73212.1,74596.6,74.6,0.0,0.0%
L1 4g + Forecaster,convert_kernel -> convert_kernel,6,69635.4,70438.3,70.4,22.1,0.0%
L1 4g + Forecaster,copy_complex64 -> copy_complex64,2,41988.9,41988.9,42.0,0.0,0.0%
L1 4g + Forecaster,convert_kernel -> eq_coef,15,1341.9,38441.2,38.4,16.6,1.3%
L1 4g + Forecaster,copy_complex64 -> convert_kernel,28,1298.4,3868.9,3.9,0.0,0.0%
L1 4g + Forecaster,convert_kernel -> noise_intf_est,20,673.3,2854.2,2.9,59.0,7.6%
L1 4g + Forecaster,noise_intf_est -> copy_complex64,1,954.2,954.2,1.0,0.0,0.0%
L1 4g + Forecaster,convert_kernel -> ch_est_pre,1920,682.7,883.6,35.1,632.2,88.4%
L1 3g alone,convert_kernel -> convert_kernel,6,71182.1,120616.5,120.6,22.2,0.0%
L1 3g alone,convert_kernel -> copy_complex64,3,116059.2,116854.6,116.9,9.5,0.0%
L1 3g alone,convert_kernel -> copy_float16,3,74686.3,80284.5,80.3,0.0,0.0%
L1 3g alone,ch_est_filter -> copy_complex64,3,76615.2,77921.8,77.9,0.0,0.0%
L1 3g alone,copy_complex64 -> copy_float32,6,73469.4,73966.2,74.0,0.0,0.0%
L1 3g alone,copy_complex64 -> convert_kernel,15,2000.6,16564.9,16.6,0.0,0.0%
L1 3g alone,convert_kernel -> eq_coef,7,966.3,4808.2,4.8,17.4,1.6%
L1 3g alone,copy_float32 -> convert_kernel,7,1469.0,4004.0,4.0,0.0,0.0%
L1 3g alone,convert_kernel -> noise_intf_est,7,962.5,1876.7,1.9,59.0,5.5%
L1 3g alone,copy_float32 -> copy_complex64,2,1238.4,1238.4,1.2,0.8,0.1%
L1 3g alone,convert_kernel -> ch_est_pre,1920,681.2,876.1,4.4,632.4,88.9%
L1 3g + Qwen,convert_kernel -> copy_complex64,3,108143.4,113111.2,113.1,10.0,0.0%
L1 3g + Qwen,convert_kernel -> noise_intf_est,15,1705.4,92579.4,92.6,86.1,5.6%
L1 3g + Qwen,ch_est_filter -> copy_complex64,3,72652.4,76895.4,76.9,0.0,0.0%
